Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Length,imdbInfo
The Mist,2007,R,21-Nov-07,126,"Horror, Sci-Fi, Thriller",Frank Darabont,"Frank Darabont, Stephen King","Thomas Jane, Marcia Gay Harden, Laurie Holden","A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",English,United States,6 wins & 13 nominations,7.1,308835,tt0884328,movie,25594957,Long,"{'imdbRating': 7.1, 'imdbVotes': 308835, 'imdbID': 'tt0884328'}"
Dog Soldiers,2002,R,10-May-02,105,"Action, Horror, Thriller",Neil Marshall,Neil Marshall,"Sean Pertwee, Kevin McKidd, Emma Cleasby",A routine military exercise turns into a nightmare in the Scotland wilderness.,English,"United Kingdom, Luxembourg",5 wins & 7 nominations,6.8,60632,tt0280609,movie,0,Short,"{'imdbRating': 6.8, 'imdbVotes': 60632, 'imdbID': 'tt0280609'}"
The Platform,2019,TV-MA,20-Mar-20,94,"Horror, Sci-Fi, Thriller",Galder Gaztelu-Urrutia,"David Desola, Pedro Rivero","Ivan Massagué, Zorion Eguileor, Antonia San Juan",A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,"Spanish, Italian",Spain,12 wins & 24 nominations,7.0,220017,tt8228288,movie,0,Short,"{'imdbRating': 7.0, 'imdbVotes': 220017, 'imdbID': 'tt8228288'}"
Thirst,2009,R,30-Apr-09,134,"Drama, Fantasy, Horror",Park Chan-wook,"Émile Zola, Park Chan-wook, Seo-kyeong Jeong","Song Kang-ho, Kim Ok-bin, Hee-jin Choi","Through a failed medical experiment, a priest is stricken with vampirism and is forced to abandon his ascetic ways.","Korean, English, French","South Korea, United States",17 wins & 19 nominations,7.1,47150,tt0762073,movie,318574,Long,"{'imdbRating': 7.1, 'imdbVotes': 47150, 'imdbID': 'tt0762073'}"
1408,2007,PG-13,22-Jun-07,104,"Fantasy, Horror, Mystery",Mikael Håfström,"Matt Greenberg, Scott Alexander, Larry Karaszewski","John Cusack, Samuel L. Jackson, Mary McCormack","A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",English,United States,4 wins & 12 nominations,6.8,273018,tt0450385,movie,71985628,Short,"{'imdbRating': 6.8, 'imdbVotes': 273018, 'imdbID': 'tt0450385'}"
A Tale of Two Sisters,2003,R,13-Jun-03,114,"Drama, Horror, Mystery",Jee-woon Kim,Jee-woon Kim,"Lim Soo-jung, Jung-ah Yum, Kim Kap-su",A family is haunted by the tragedies of deaths within the family.,Korean,South Korea,23 wins & 3 nominations,7.1,62535,tt0365376,movie,72541,Short,"{'imdbRating': 7.1, 'imdbVotes': 62535, 'imdbID': 'tt0365376'}"
Shadow of the Vampire,2000,R,26-Jan-01,92,"Drama, Horror",E. Elias Merhige,Steven Katz,"John Malkovich, Willem Dafoe, Udo Kier",The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,"English, German, Luxembourgish","United Kingdom, Luxembourg, United States",Nominated for 2 Oscars. 16 wins & 29 nominations total,6.9,42164,tt0189998,movie,8293784,Short,"{'imdbRating': 6.9, 'imdbVotes': 42164, 'imdbID': 'tt0189998'}"
Dracula: Pages from a Virgin's Diary,2002,Not Rated,12-Dec-03,73,"Drama, Horror, Musical",Guy Maddin,"Bram Stoker, Mark Godden","Wei-Qiang Zhang, Tara Birtwhistle, David Moroni","A ballet rendition of Bram Stoker's ""Dracula"", stylized as an Expressionistic silent film.",English,Canada,4 wins & 2 nominations,6.9,2085,tt0293113,movie,55365,Short,"{'imdbRating': 6.9, 'imdbVotes': 2085, 'imdbID': 'tt0293113'}"
The Others,2001,PG-13,10-Aug-01,104,"Horror, Mystery, Thriller",Alejandro Amenábar,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,English,"Spain, United States, France, Italy",Nominated for 2 BAFTA 29 wins & 55 nominations total,7.6,364864,tt0230600,movie,96522687,Short,"{'imdbRating': 7.6, 'imdbVotes': 364864, 'imdbID': 'tt0230600'}"
REC,2007,R,23-Nov-07,78,"Horror, Mystery, Thriller","Jaume Balagueró, Paco Plaza","Jaume Balagueró, Luiso Berdejo, Paco Plaza","Manuela Velasco, Ferran Terraza, Jorge-Yamam Serrano",A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,"Spanish, Japanese",Spain,16 wins & 12 nominations,7.4,179621,tt1038988,movie,0,Short,"{'imdbRating': 7.4, 'imdbVotes': 179621, 'imdbID': 'tt1038988'}"
The Conjuring 2,2016,R,10-Jun-16,134,"Horror, Mystery, Thriller",James Wan,"Chad Hayes, Carey W. Hayes, James Wan","Vera Farmiga, Patrick Wilson, Madison Wolfe",Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,English,"Canada, United States, United Kingdom",4 wins & 13 nominations,7.3,267640,tt3065204,movie,102516140,Long,"{'imdbRating': 7.3, 'imdbVotes': 267640, 'imdbID': 'tt3065204'}"
Ginger Snaps,2000,Not Rated,11-May-01,108,"Drama, Fantasy, Horror",John Fawcett,"Karen Walton, John Fawcett","Emily Perkins, Katharine Isabelle, Kris Lemche","Two death-obsessed sisters, outcasts in their suburban neighborhood, must deal with the tragic consequences when one of them is bitten by a deadly werewolf.",English,"Canada, United States",10 wins & 9 nominations,6.8,47418,tt0210070,movie,2554,Short,"{'imdbRating': 6.8, 'imdbVotes': 47418, 'imdbID': 'tt0210070'}"
